CommitID,LocalRepoName,TargetDirectory
844081f3847d3bfbce57e69d4b7675b0367cde1b,ide,libraries\vs\core
c8518859a7854f1bcdfd03e47053c5886ff469bf,xdr,lib\vs\iot
d829d18d51599dcd318e445b8cf727d3829ca5c1,oncrpc,lib\vs\iot
